Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17805734,Learning Python with Raspberry Pi,Alex Bradbury,"Bradbury, Alex",Ben Everard,"=""1118717058""","=""9781118717059""",3,3.82,Wiley,Paperback,288,2014,2013,,2020/02/16,,,read,War nicht wirklich neues dabei,,,1,0
35075612,"Die Hüter des Todes (Scythe, #1)",Neal Shusterman,"Shusterman, Neal","Pauline Kurbasik, Kristian Lutze","=""""","=""9783737355063""",4,4.33,FISCHER Sauerländer,Hardcover,528,2017,2016,2020/02/09,2019/10/20,,,read,"Sehr gut durchdachte Young Adult Fiction. Klar, ein paar Klischees gibt's, hat mir trotzdem gut gefallen.<br/>Gelesen und Gehört, die verschiedenen Sprecher sind super.",,,1,0
13642,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0553383043""","=""9780553383041""",5,4.01,,Paperback,183,2004,1968,2020/02/02,2019/12/31,,,read,Meiner Meinung nach ein Meisterwerk. Kein Wort zuviel oder zuwenig. Schön mal was neues Altes gelesen zu haben.,,,2,0
18931703,"Die Suche nach dem Auge der Welt (Das Rad der Zeit, #1)",Robert Jordan,"Jordan, Robert",Uwe Luserke,"=""3492959326""","=""""",4,4.19,Piper ebooks,Kindle Edition,897,2012,1990,,2020/01/19,,,read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""0735211302""","=""""",4,4.37,Avery,Kindle Edition,319,2018,2018,2020/01/26,2020/01/14,,,read,Gutes Konzept wenn man neue Gewohnheiten annehmen will. Mir fehlt aber ein praktischer Leitfaden,,,1,0
24945404,The Obesity Code: Unlocking the Secrets of Weight Loss,Jason Fung,"Fung, Jason",Timothy Noakes,"=""1771641258""","=""9781771641258""",3,4.38,Greystone Books,Paperback,315,2016,2016,,2020/01/22,,,read,"Ok, Fasten Ist gut, verstanden. Sehr wissenschaftlich, mir fehlt die praktische Anleitung.",,,1,0
15361033,Drohende Schatten,Robert Jordan,"Jordan, Robert",,"=""9783860475""","=""""",4,4.27,Bechtermünz Verlag,Hardcover,,1997,1990,,2020/01/19,,,read,"Klassische Fantasy, gut geschrieben und interessant erzählt.",,,1,0
7713773,"Schattenwanderer (Die Chroniken von Siala, #1)",Alexey Pehov,"Pehov, Alexey","Алексей Пехов, Christiane Pöhlmann","=""3492701868""","=""9783492701860""",4,3.98,Piper,Paperback,558,2010,2002,2020/01/12,2019/12/30,,,read,Als Hörbuch gelesen:<br/><br/>Geschichte ist kurzweilig und recht abwechslungsreich geschrieben.<br/>- Sehr blumig geschrieben<br/>- Charaktere sind gut entwickelt,,,1,0
35490154,"Kollaps: Das Imperium der Ströme (The Interdependency, #1)",John Scalzi,"Scalzi, John",Bernhard Kempen,"=""3596299667""","=""9783596299669""",2,4.11,Fischer TOR,Paperback,416,2017,2017,2020/01/11,2018/08/30,,,read,,,,1,0
38944698,Der Ernährungskompass: Das Fazit aller wissenschaftlichen Studien zum Thema Ernährung,Bas Kast,"Kast, Bas",,"=""3641201071""","=""9783641201074""",5,4.49,C.Bertelsmann Verlag,Kindle Edition,337,2018,2018,,2019/12/30,,,read,,,,1,0
25375672,"Die raunende Maske (Lockwood & Co., #3)",Jonathan Stroud,"Stroud, Jonathan",,"=""3570159639""","=""9783570159637""",4,4.37,cbj,Hardcover,460,2015,2015,,2019/11/04,,,read,,,,1,0
49533694,"Göttertod (The First Empire, #3)",Michael J. Sullivan,"Sullivan, Michael J.",Carina Schnell,"=""3426520354""","=""9783426520352""",4,4.42,Knaur TB,Paperback,512,2019,2018,,2019/10/20,,,read,,,,1,0
42592353,"Age of Legend (The Legends of the First Empire, #4)",Michael J. Sullivan,"Sullivan, Michael J.",Simonetti,"=""194414529X""","=""9781944145293""",4,4.35,Riyria Enterprises LLC,Hardcover,480,2019,2019,2019/11/03,2019/10/20,,,read,,,,1,0
114955,"The Arctic Incident  (Artemis Fowl, #2)",Eoin Colfer,"Colfer, Eoin",Sian Melangell Dafydd,"=""""","=""""",5,3.96,Hyperion Books for Children,Paperback,398,2004,2002,,2019/12/02,,,read,,,,1,0
36588689,"Die Gefährten (Belgariad Saga, #1)",David Eddings,"Eddings, David",Irmhild Hübner,"=""3641226554""","=""9783641226558""",5,4.16,Blanvalet,Kindle Edition,400,2018,1982,2019/10/20,2019/05/21,,,read,,,,1,0
17612917,Phoenix,S.F. Said,"Said, S.F.",Dave McKean,"=""038561814X""","=""9780385618144""",0,4.33,David Fickling Books,Hardcover,496,2013,2013,,2019/11/04,to-read,to-read (#41),to-read,,,,0,0
23606648,"The Dagger in the Desk (Lockwood & Co., #1.5)",Jonathan Stroud,"Stroud, Jonathan",,"=""1448196949""","=""9781448196944""",0,3.96,RHCP Digital,ebook,44,2015,2013,,2019/11/04,to-read,to-read (#40),to-read,,,,0,0
44012031,"Drachenmond (Luna, #3)",Ian McDonald,"McDonald, Ian",Friedrich Mader,"=""3453317971""","=""9783453317970""",0,3.93,"Wilhelm Heyne Verlag, München",Paperback,464,2019,2019,,2019/11/04,to-read,to-read (#39),to-read,,,,0,0
32810971,"Das Imperium (Imperial Radch, #3)",Ann Leckie,"Leckie, Ann",Bernhard Kempen,"=""3453317262""","=""9783453317260""",0,4.21,Heyne Verlag,Paperback,500,2017,2015,,2019/11/04,to-read,to-read (#38),to-read,,,,0,0
41815341,"Initiate (Animus, #1)",Joshua Anderle,"Anderle, Joshua",Michael Anderle,"=""""","=""""",0,4.29,LMBPN Publishing,Kindle Edition,412,2018,2018,,2019/11/03,to-read,to-read (#37),to-read,,,,0,0
43554718,Der Schwarze Thron: Die Schwestern / Die Königin: Zwei Romane in einem Band,Kendare Blake,"Blake, Kendare",,"=""3734161878""","=""9783734161872""",0,3.82,Blanvalet Taschenbuch Verlag,Paperback,960,2019,,,2019/06/03,to-read,to-read (#24),to-read,,,,0,0
35126152,"Iron and Magic (The Iron Covenant, #1; World of Kate Daniels, #11)",Ilona Andrews,"Andrews, Ilona",,"=""1641970405""","=""9781641970402""",0,4.41,"Nancy Yost Literary Agency, Inc",Paperback,392,2018,2018,,2019/10/20,to-read,to-read (#36),to-read,,,,0,0
34311452,"Year One (Chronicles of The One, #1)",Nora Roberts,"Roberts, Nora",,"=""1250122953""","=""9781250122957""",0,4.05,St. Martin's Press,Hardcover,419,2017,2017,,2019/10/20,to-read,to-read (#35),to-read,,,,0,0
36521316,The Shape of Water,Guillermo del Toro,"Toro, Guillermo del",Daniel Kraus,"=""1250165342""","=""9781250165343""",0,3.89,Feiwel & Friends,Hardcover,315,2018,2017,,2019/10/20,to-read,to-read (#34),to-read,,,,0,0
44144248,Lost and Found,Orson Scott Card,"Card, Orson Scott",,"=""1982613416""","=""9781982613419""",0,4.06,Blackstone Publishers,Hardcover,281,2019,2019,,2019/10/20,to-read,to-read (#33),to-read,,,,0,0
35132289,"Die Verräterin (Das Imperium der Masken, #1)",Seth Dickinson,"Dickinson, Seth",Jakob Schmidt,"=""""","=""""",0,4.06,Fischer Tor,Kindle Edition,519,2017,2015,,2019/10/20,to-read,to-read (#32),to-read,,,,0,0
16058396,"Die Königin (Sonea, #3)",Trudi Canavan,"Canavan, Trudi",,"=""""","=""9783764530433""",4,4.03,Penhaligon,Hardcover,608,2012,2012,,2019/10/20,,,read,,,,1,0
10117050,"Die Heilerin (Sonea, #2)",Trudi Canavan,"Canavan, Trudi",Michaela Link,"=""""","=""9783764530426""",4,4.04,Penhaligon,Hardcover,576,2011,2011,,2019/10/20,,,read,,,,1,0
10238585,"Die Hüterin (Sonea, #1)",Trudi Canavan,"Canavan, Trudi",Michaela Link,"=""""","=""9783442377251""",4,3.93,Blanvalet Taschenbuch Verlag,Paperback,608,2011,2010,,2019/10/20,,,read,,,,1,0
19061929,Skinwalker: Fluch des Blutes,Faith Hunter,"Hunter, Faith",Stefanie Zeller,"=""""","=""""",0,4.16,Egmont LYX.digital,Kindle Edition,449,2012,2010,,2019/10/20,to-read,to-read (#29),to-read,,,,0,0
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,"=""0062024035""","=""9780062024039""",0,4.15,Katherine Tegen Books,Paperback,487,2012,2011,,2019/10/20,to-read,to-read (#28),to-read,,,,0,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.50,Scholastic Inc.,Paperback,912,2004,2003,,2019/10/20,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",4,4.33,Scholastic Press,Hardcover,374,2008,2008,,2019/10/20,,,read,,,,1,0
4473,A Prayer for Owen Meany,John Irving,"Irving, John",,"=""0552135399""","=""9780552135399""",5,4.24,Black Swan,Paperback,637,1990,1989,,2019/10/20,,,read,,,,1,0
234225,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""0340839937""","=""9780340839935""",4,4.26,Hodder,Paperback,604,2006,1965,,2019/10/20,,,read,,,,1,0
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""0670069019""","=""9780670069019""",5,4.16,Viking Canada,Hardcover,480,2008,2005,,2019/10/20,,,read,,,,1,0
10964,"Outlander (Outlander, #1)",Diana Gabaldon,"Gabaldon, Diana",,"=""0440242940""","=""9780440242949""",0,4.26,Dell Publishing Company,Mass Market Paperback,850,2005,1991,,2019/10/20,to-read,to-read (#27),to-read,,,,0,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333846""","=""9780385333849""",0,4.09,Dial Press,Paperback,275,1999,1969,,2019/10/20,to-read,to-read (#26),to-read,,,,0,0
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""0061122416""","=""9780061122415""",4,3.90,HarperCollins,Paperback,197,1993,1988,,2019/10/20,,,read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",4,3.69,Penguin Books ,Paperback,182,1999,1954,,2019/10/20,,,read,,,,1,0
25332373,Das Erbe des Kuriers,Peter V. Brett,"Brett, Peter V.",Ingrid Herrmann-Nytko,"=""3641168171""","=""9783641168179""",5,4.04,Heyne Verlag,Kindle Edition,209,2015,2015,2019/05/20,2018/09/01,to-read,to-read (#17),to-read,,,,1,0
34627056,"Der tägliche Stoiker: 366 nachdenkliche Betrachtungen über Weisheit, Beharrlichkeit und Lebensstil",Ryan Holiday,"Holiday, Ryan",Stephen Hanselman,"=""3960920717""","=""9783960920717""",5,4.36,FinanzBuch Verlag,Kindle Edition,470,2017,2016,2019/10/20,2019/05/21,,,read,,,,1,0
18945810,Die Flammen der Dämmerung,Peter V. Brett,"Brett, Peter V.",Ingrid Herrmann-Nytko,"=""""","=""""",4,4.21,Heyne Verlag,Kindle Edition,1057,2013,2013,2019/10/20,2019/10/20,,,read,,,,1,0
35154954,"Das Leuchten der Magie (The Demon Cycle, #5)",Peter V. Brett,"Brett, Peter V.",Ingrid Herrmann-Nytko,"=""345331574X""","=""9783453315747""",4,3.97,Heyne Verlag,Paperback,656,2017,2017,2019/10/20,2019/10/20,,,read,,,,1,0
1502813,Gevatter Tod / Wachen! Wachen!,Terry Pratchett,"Pratchett, Terry",,"=""3453168798""","=""9783453168794""",4,4.34,Heyne,Paperback,426,2000,,2019/10/20,2019/10/20,,,read,,,,1,0
33303580,"Das Erbe der Seher (The Licanius Trilogy, #1)",James  Islington,"Islington, James",Ruggero Leò,"=""3426520958""","=""9783426520956""",4,4.14,Knaur,Paperback,800,2017,2014,2019/10/20,2019/10/20,,,read,,,,1,0
